"x","y","group","day"
333.032756004922,541.340475287245,"case",52
336.142773730945,543.346180966449,"case",46
341.47615240692,551.179421306902,"case",38
358.001580149709,534.320968986166,"case",42
382.318870431629,514.970692859894,"case",209
333.95669372841,540.765466126733,"case",58
335.829466828777,541.928968643989,"case",45
336.533393080018,541.388938717537,"case",61
334.396370091562,540.079582129596,"case",48
334.345499952976,542.632723325991,"case",69
335.868911504117,541.802699547673,"case",60
336.044285177134,542.256612882834,"case",45
333.517070798903,542.3925176218,"case",55
337.000709289427,541.845010159663,"case",42
335.361017669968,542.838378965141,"case",44
336.467976417495,543.242263339121,"case",53
333.989908156986,544.817754434988,"case",58
334.660479444764,541.082887857296,"case",53
335.602559698872,542.828747117702,"case",45
336.257281815427,545.498621890276,"case",66
336.506251470186,535.867923858313,"case",90
331.050577505307,539.637996266716,"case",71
335.325414179826,536.192155971754,"case",83
335.927582636382,534.323171119019,"case",47
333.987532827399,538.048907169685,"case",44
338.224029468509,550.81652461747,"case",52
339.367241076046,550.495129962895,"case",61
337.488278438407,549.44436880687,"case",25
337.757596628543,552.086641514626,"case",80
336.846907854346,549.220477732886,"case",70
335.207732194315,549.390057302707,"case",47
335.093864928423,547.903968953793,"case",60
334.039109828126,550.288145679561,"case",62
335.923957117224,545.580361167506,"case",54
337.294637552482,547.890631317632,"case",96
336.843834911947,547.428116645136,"case",46
340.075337739867,544.994291106152,"case",53
339.492656870286,546.509599220733,"case",52
340.720530239938,545.769302460086,"case",58
340.07302193386,546.908770453108,"case",31
338.396347944798,547.335363008259,"case",64
334.826270806664,546.054108537654,"case",45
337.033351711421,544.145361415506,"case",54
338.78671884486,544.739944994485,"case",45
336.421586349748,543.088390397129,"case",53
336.474953410017,543.017688277928,"case",48
338.650419248248,544.296430951535,"case",46
338.19025450631,545.844331691984,"case",52
336.741514124671,548.210332621887,"case",61
340.816599036785,550.493812412202,"case",74
340.878196725775,550.772067581807,"case",33
340.392010426641,550.831623517049,"case",39
341.833875682004,551.99979091696,"case",62
343.498410797502,550.546542202309,"case",88
346.004151117483,549.928951887244,"case",59
344.582341327898,549.143417507427,"case",92
343.296380819149,552.760273990517,"case",57
342.109788411026,552.600793358912,"case",131
344.035477996323,548.063298982104,"case",69
341.69037840639,549.697287867851,"case",98
344.983226409891,550.952181737546,"case",90
339.511420919308,550.566159086574,"case",66
339.987193945567,551.82200296439,"case",49
350.616857914734,549.676036364539,"case",64
345.822235901517,551.068115905482,"case",61
345.251430863005,551.711171413068,"case",88
348.040187327844,549.81027477091,"case",75
349.137907310853,551.323046828871,"case",70
350.284713121419,553.25118825199,"case",47
350.580065700886,550.011908455859,"case",52
350.642829369215,550.85311586045,"case",55
352.976122412587,549.294609322773,"case",44
351.15113920922,549.08492568319,"case",62
351.078031915415,548.326815885402,"case",68
351.226171311687,544.385365868258,"case",55
354.264263787619,545.061432885716,"case",50
353.413439800848,546.538074781403,"case",46
352.409613335005,545.934363073796,"case",41
369.477856152976,547.667669985563,"case",46
337.678161526092,535.436193822669,"case",57
339.397678547381,541.140007579032,"case",41
337.518002519366,543.890830081566,"case",44
336.380474363923,540.785010052227,"case",101
338.965065234175,541.724534314013,"case",39
334.941705840551,538.313450282617,"case",46
335.435740487451,540.451799743794,"case",56
336.698449842559,539.518246414384,"case",69
333.70802323787,539.881700374006,"case",67
333.707056001878,539.64435487888,"case",51
337.903929504053,540.91503788532,"case",49
337.65330726417,537.577270935563,"case",40
337.103766957768,537.100456989712,"case",55
350.591328135249,531.166458383542,"case",24
347.749573894002,532.790168282737,"case",41
349.143643934801,531.698149629476,"case",57
363.170727304863,531.67294545138,"case",46
362.698763635242,530.84007572916,"case",73
361.818676025363,532.663140390358,"case",66
362.789779188912,530.458145892692,"case",109
346.287194406309,533.93024529661,"case",50
350.216681501066,530.82815322451,"case",104
349.102757957692,529.196601713252,"case",35
346.305645379355,529.132660614278,"case",29
347.357292507811,529.878842576869,"case",47
343.646521054179,531.886446721347,"case",33
361.218516629434,540.265489935808,"case",53
356.730246816783,539.492109085238,"case",41
356.490727140611,539.981995974428,"case",75
358.904093077388,540.701411601222,"case",65
354.260926612095,535.905702441328,"case",39
352.412059187945,536.341825611528,"case",41
352.636334850917,536.266415457251,"case",37
354.986416357497,537.916082944771,"case",47
355.499218961088,536.507146265093,"case",53
354.062903799986,535.017571048023,"case",39
356.242920031434,538.093293745654,"case",34
355.58228977268,537.670006474684,"case",47
355.937476579431,535.159379495343,"case",40
342.164207766511,532.931978743194,"case",45
